filename,transcript
pk_001,Mero assignment submit garna time lagxa.
pk_002,Sir le bhaneko concept clear vayena.
pk_003,Timi chai kati baje ghar jane plan cha?
pk_004,Please send me the pdf after class.
pk_005,Mero phone ko battery almost dead xa.
pk_006,Let's go to canteen after this lecture.
pk_007,Maile yo topic bujhna try gare but alik garo lagyo.
pk_008,"Herana, yo diagram ramro sanga draw garnu parxa."
pk_009,Tyo presentation ma photo clarity thikai xa ni.
pk_010,Ma aba ghar jane sochdai chu.
pk_011,Tyo movie ko trailer dherai ramro xa.
pk_012,Assignment ko deadline extend hunxa ki nai?
pk_013,Kal college ma class cancelled xa re.
pk_014,Sir le extra class rakhnu bhayo bholi.
pk_015,Tyo code ma error dekhauna sakchau?
pk_016,Mero laptop ma python install xa already.
pk_017,Let's finish this project by tonight.
pk_018,Maile tyo reel edit gareko xu.
pk_019,Yo song sunera mood fresh hunxa.
pk_020,Lunch ma momo khane ho?
pk_021,Yo code run garna thap module install garnu parxa.
pk_022,"Kal test cha, padhera aauna."
pk_023,Mero name list ma xa ki nai?
pk_024,Tyo file google drive ma upload gardinu.
pk_025,Please call me after your class.
pk_026,Kati ramro weather xa aja.
pk_027,Mero net slow vairaixa aaja.
pk_028,Tyo teacher ko teaching style dherai ramro xa.
pk_029,Let's meet at library after break.
pk_030,Mero assignment almost complete xa.
pk_031,Kal group meeting kati baje?
pk_032,Tyo video edit garna time lagxa.
pk_033,Maile arko section ma class linu parxa.
pk_034,Please send me the link for registration.
pk_035,Sir le bhaneko notes upload gardinu.
pk_036,Maile tyo message padhna birse.
pk_037,Timro pen use garna milxa?
pk_038,Ma ghar pugna laai taxi liyera gaye.
pk_039,Tyo app use garna easy xa.
pk_040,Let's go for tea break.
pk_041,Maile tyo error fix gare.
pk_042,Tyo project ko idea ramro cha.
pk_043,Please mute your mic during class.
pk_044,Mero code ma syntax error xa re.
pk_045,Kal holiday xa re college ma.
pk_046,Tyo website ko UI design attractive cha.
pk_047,Maile tyo pdf drive ma rakheko xu.
pk_048,Please check your email.
pk_049,Ma arko week bata start garxu.
pk_050,Tyo function call garera check gara.
pk_051,Mero notes bhetiena.
pk_052,Maile chai class ma suneko xu yo kura.
pk_053,Tyo practical test garna alik garo cha.
pk_054,Please bring your laptop tomorrow.
pk_055,Maile tyo assignment submit gareko xu already.
pk_056,Sir le kal viva linu hunchha.
pk_057,Let's finish this task today itself.
pk_058,Mero room ma charger xa.
pk_059,Please download the software before class.
pk_060,Maile tyo meeting join garna birse.
pk_061,Tyo topic explain gardinu na.
pk_062,Yo project deploy garnai parxa.
pk_063,Mero phone ko storage full vayo.
pk_064,Let's have coffee after lunch.
