filename,actual,predicted
pk_001.wav,Mero assignment submit garna time lagxa.,"mero assignments, summit were not time lags."
pk_002.wav,Sir le bhaneko concept clear vayena.,Sir le bhaney ko concept clear boy na
pk_003.wav,Timi chai kati baje ghar jane plan cha?,13. uyviya 13. Plan
pk_004.wav,Please send me the pdf after class.,Please send me the PDF of the class.
pk_005.wav,Mero phone ko battery almost dead xa.,میرو phone کو battery almost dead sir
pk_006.wav,Let's go to canteen after this lecture.,Let's go to Kandina after this lecture.
pk_007.wav,Maile yo topic bujhna try gare but alik garo lagyo.,"tarde, Property Down payment for hotel"
pk_008.wav,"Herana, yo diagram ramro sanga draw garnu parxa.",Hare Na Hew Dai Grahya Ramanam Sangha Tamar Suh Thurav Rhovera
pk_009.wav,Tyo presentation ma photo clarity thikai xa ni.,due presentation of photo clarity Thickness on
pk_010.wav,Ma aba ghar jane sochdai chu.,Moha Bha Gharzani sos thai su
pk_011.wav,Tyo movie ko trailer dherai ramro xa.,точе yayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayeday fry
pk_012.wav,Assignment ko deadline extend hunxa ki nai?,Assignment from deadline extension
pk_013.wav,Kal college ma class cancelled xa re.,Vole<|es|>
pk_014.wav,Sir le extra class rakhnu bhayo bholi.,tmbol Cilивал
pk_015.wav,Tyo code ma error dekhauna sakchau?,пڑ ک Awards
pk_016.wav,Mero laptop ma python install xa already.,mero laptop ma python installs already
pk_017.wav,Let's finish this project by tonight.,Let's finish this project by tonight.
pk_018.wav,Maile tyo reel edit gareko xu.,ught吓 lull个个个 hшw
pk_019.wav,Yo song sunera mood fresh hunxa.,yo song sonera more freesunza
pk_020.wav,Lunch ma momo khane ho?,LOnSmichMom тебе
pk_021.wav,Yo code run garna thap module install garnu parxa.,public
pk_022.wav,"Kal test cha, padhera aauna.",dataset
pk_023.wav,Mero name list ma xa ki nai?,mero name list match haki naay
pk_024.wav,Tyo file google drive ma upload gardinu.,Thio file google drive upload
pk_025.wav,Please call me after your class.,Please call me a period class.
pk_026.wav,Kati ramro weather xa aja.,Kothiramrule darsa drive i
pk_027.wav,Mero net slow vairaixa aaja.,ాధారాథఽనపం఩ూ తవిర verste
pk_028.wav,Tyo teacher ko teaching style dherai ramro xa.,''Do Teacher Quick Teaching Style in TireRam!!?''
pk_029.wav,Let's meet at library after break.,Let's meet at library after break.
pk_030.wav,Mero assignment almost complete xa.,mero assignment almost complete sir
pk_031.wav,Kal group meeting kati baje?,Bholy Group Meeting
pk_032.wav,Tyo video edit garna time lagxa.,keo bae dya ed wurni az salvation
pk_033.wav,Maile arko section ma class linu parxa.,Μ HOLI AR KOO SHEXAN MA Class Inverse
pk_034.wav,Please send me the link for registration.,Please send me the link for registration.
pk_035.wav,Sir le bhaneko notes upload gardinu.,ھا لے گانے گا نوٹس اپلٹ گا دیلے
pk_036.wav,Maile tyo message padhna birse.,Moeilaysoon Travis
pk_037.wav,Timro pen use garna milxa?,1080p
pk_038.wav,Ma ghar pugna laai taxi liyera gaye.,M Essentially To bring out a taxi
pk_039.wav,Tyo app use garna easy xa.,Do it happy with God my easy son.
pk_040.wav,Let's go for tea break.,Let's go for tea break.
pk_041.wav,Maile tyo error fix gare.,dhuls��Samay
pk_042.wav,Tyo project ko idea ramro cha.,teu pro deck regularly the prime
pk_043.wav,Please mute your mic during class.,Please mute your mic during class.
pk_044.wav,Mero code ma syntax error xa re.,mero koileshTeXi.
pk_045.wav,Kal holiday xa re college ma.,Bholy woli de saare kalesma
pk_046.wav,Tyo website ko UI design attractive cha.,Teo website where UI design or tech tips are
pk_047.wav,Maile tyo pdf drive ma rakheko xu.,urar
pk_048.wav,Please check your email.,6B
pk_049.wav,Ma arko week bata start garxu.,to work got state
pk_050.wav,Tyo function call garera check gara.,2 f humanock
pk_051.wav,Mero notes bhetiena.,Mero Notes Medicine
pk_052.wav,Maile chai class ma suneko xu yo kura.,Moi Le embroider Ang Kokualan
pk_053.wav,Tyo practical test garna alik garo cha.,t чего practicle test gournaallik garment
pk_054.wav,Please bring your laptop tomorrow.,Please bring your laptop tomorrow.
pk_055.wav,Maile tyo assignment submit gareko xu already.,maுructured Os 관�ricting
pk_056.wav,Sir le kal viva linu hunchha.,started negotiationsinas
pk_057.wav,Let's finish this task today itself.,Let's finish this task today itself.
pk_058.wav,Mero room ma charger xa.,מے رو روما تارزر سا
pk_059.wav,Please download the software before class.,Please download the software before class.
pk_060.wav,Maile tyo meeting join garna birse.,مائلے تیو میٹین جوین گارنہ بیٹ سے
pk_061.wav,Tyo topic explain gardinu na.,ту tracks
pk_062.wav,Yo project deploy garnai parxa.,T
pk_063.wav,Mero phone ko storage full vayo.,Grö tertok
pk_064.wav,Let's have coffee after lunch.,Let's have coffee after lunch.
pk_065.wav,Mero group ko presentation today xa.,Het꿍pterror
pk_066.wav,Tyo lecture record garna parxa.,Dho conduction Legal Director
pk_067.wav,Please check the output once.,Please check the output once.
pk_068.wav,Ma arko video banauchu tes mathi.,hauling
pk_069.wav,Sir le code explain garna bhaneko thiyo.,S promote court accent
pk_070.wav,Let's complete all modules today.,Let's complete all modules today.
pk_071.wav,Tyo folder drive ma xa already.,2 folder drive match already
pk_072.wav,Maile chai morning ma padha xu.,Māyid sa назыв na pādhā sū
pk_073.wav,Please wait for five minutes.,Please wait for 5 minutes.
pk_074.wav,Tyo class start vayo ki nai?,presents
pk_075.wav,Maile chai sabai notes revise gare.,Maingat then syc
pk_076.wav,Tyo seminar ma interesting topic thiyo.,Thio Seminarma Interesting Topic Thio.
pk_077.wav,Mero bike ko petrol sakiyo.,thigh cou taken by
pk_078.wav,Let's go for a walk in evening.,Let's go for a walk in Eevee.
pk_079.wav,Maile chai assignment hard copy submit gare.,Cincinnati
pk_080.wav,Please share your screen.,Please see your screen.
pk_081.wav,Tyo error ko solution google ma xa.,ڈو ایدار کو سولیشان گگول مصب
pk_082.wav,Maile chai ghar ma padhna ramro lagxa.,M
pk_083.wav,Tyo book ma diagram ramro cha.,encompassed nego
pk_084.wav,Let's finalize the project report today.,Let's finalize the project report today.
pk_085.wav,Mero pen khoi bhaneko xa.,میرு پین کوئی بانگہ سا
pk_086.wav,Maile chai code push gare github ma.,quort bus
pk_087.wav,Please explain the logic once.,Please explain the logic once.
pk_088.wav,Tyo video ma subtitle cha ki nai?,watching the zones in the video
pk_089.wav,Mero roll number 40 ho.,میرو role number 40
pk_090.wav,Tyo photo clear cha.,beginnen
pk_091.wav,Please reply to my email soon.,Please reply to my email soon.
pk_092.wav,Maile chai sabai task complete gare.,Moilets are in Soviet task complete
pk_093.wav,Tyo video upload garna time lagxa.,Till video upload gore nut time laxar
pk_094.wav,Mero laptop ko charger harayo.,Along with the floor wash Sarza<|hi|>
pk_095.wav,Let's plan for tomorrow's class.,Let's plan for tomorrow's class.
pk_096.wav,Maile chai form fill gare already.,chemist sundays
pk_097.wav,Tyo code snippet send gardinu.,tukkoorgenepet zengaardew
pk_098.wav,Please update the document today.,please update the document today
pk_099.wav,Maile chai output check gare already.,olho س textureded
pk_100.wav,Tyo function debug garna parxa.,Զproveute fomsn directional evaluation
pk_101.wav,Maile chai breakfast nagareko.,Mahali d're sainbrik happy
pk_102.wav,Tyo app update garna parxa.,म sweet
pk_103.wav,Let's complete this topic today.,Let's complete this topic today.
pk_104.wav,Mero internet connection unstable xa.,metro internet connection on staple
pk_105.wav,Please send me the notes after class.,Please send me the notes after class.
pk_106.wav,Tyo meeting kati baje start hunxa?,2 meeting kothi bhaji startan sa
pk_107.wav,Maile chai kal dekhi padna thale.,ھا لے چاہیں بولی دے ہی پر نا تھا لے
pk_108.wav,Sir le assignment ko deadline extend garnu bhayo.,Saurley Assign Mint Code Deadline Extend Garnewar
pk_109.wav,Tyo code output expected jasto xaina.,Which are 200 kpine
pk_110.wav,Please switch on your camera during viva.,Please switch on your camera during Viva.
pk_111.wav,Maile chai course complete gare half.,Mayil it In Yes of Coastbasar
pk_112.wav,Tyo task allocate garna parxa sabai ma.,tuk tuk
pk_113.wav,Mero phone ma tyo app install xa.,mero phone mat yo app install son
pk_114.wav,Let's do group study tomorrow.,let's do group study tomorrow
pk_115.wav,Maile chai tyo diagram draw gare class ma.,Muilйd LHD
pk_116.wav,Please submit the form before deadline.,Please summit the form before deadline.
pk_117.wav,Mero bike service garna parxa.,Mirabai Xörj 11
pk_118.wav,Tyo module bhaneko dherai important xa.,Mooji ni passed the modules are also very important here
pk_119.wav,Maile chai kal dekhi early uthna thale.,lletm fung voli daki taiaurolu people
pk_120.wav,Let's discuss this topic after lunch.,Let's discuss the topic after launch.
pk_121.wav,Ma ghar pugna laai taxi liyera aako.,cog help
pk_122.wav,Please mute yourself during meeting.,Please mute yourself during meeting.
pk_123.wav,Maile chai tyo topic revise gareko xu.,Moilits & your topic revise gore
pk_124.wav,Tyo website load huna time lagxa.,2 website load on our time laxa
pk_125.wav,Let's finish editing the video today.,Let's finish reading the video today.
ab_126.wav,Mero assignment file corrupt vayo.,mero assignment file corrupt bio
ab_127.wav,Tyo lecture record garna bhayo sir le.,नाजिवं कौन एे प्गरा सिने चाद क्प ले हुथ मिडिवो ने होो वो आब coc
ab_128.wav,Please send the zoom link.,Please send the zoom link.
ab_129.wav,Maile chai hijo padhna time paayena.,"Mule, Chahi, Hizu, Kornot, Time, Pai, No"
ab_130.wav,Tyo image ko resolution low xa.,들오 sewing troops Brothers
ab_131.wav,Let's go for group lunch today.,Let's go for a cool lunch today.
ab_132.wav,Ma ghar pugna alik late vayo.,ma ngo bombsoke na alik late Fitness
ab_133.wav,Please reply to my message soon.,PLEASE REPLAY TO MY MISSED SON
ab_134.wav,Tyo code logic bujhna time lagxa.,Tousοमे ahr comigo мageriu legirl' Role grill
ab_135.wav,Maile chai arko example try gare.,Moi Le Saai Ng
ab_136.wav,Tyo file ma error xa re.,do fil marijuana
ab_137.wav,Mero laptop slow vairaixa aaja.,etics
ab_138.wav,Let's discuss project plan tomorrow.,Let's discuss project plan tomorrow.
ab_139.wav,Maile chai video edit gardai xu.,ーン
ab_140.wav,Please save the document frequently.,Please save the document frequently.
ab_141.wav,Tyo teacher ko explanation clear cha.,Kiaotttttt churko-explanation kle��hao
ab_142.wav,Maile chai tyo question solve gare.,"Maile, chahi, tu, question, solve, gore."
ab_143.wav,Tyo folder drive ma upload gardinu.,Dho folder drive ma upload gardino
ab_144.wav,Let's start coding session now.,Let's start coding session now.
ab_145.wav,Maile chai tyo mail send gare.,milk 2 milkбو
ab_146.wav,Please share the google form link.,Please share the Google Form link.
ab_147.wav,Mero practical test kal cha.,Meoworkvagtvkụpg
ab_148.wav,Tyo function call garna birse.,"du clogancies, call coordinate,"
ab_149.wav,Maile chai code debug gardai xu.,vari oc
ab_150.wav,Let's attend tomorrow's workshop.,Let's attend tomorrow's workshop.
ab_151.wav,Mero room ma wifi problem xa.,Miru Rubha Waifai Problem Top
ab_152.wav,Tyo photo upload gardaina timely.,Jo picture pharmacy
ab_153.wav,Please send your assignment today.,Please send your assignment today.
ab_154.wav,Maile chai tyo topic already padheko xu.,máilae cae yo topic alreidi parikuttsou
ab_155.wav,Tyo diagram explain gardinu na.,205.2 Gb表
ab_156.wav,Let's go for tea break.,Let's go for the brick.
ab_157.wav,Maile chai file rename gare already.,spinach aahi file darker
ab_158.wav,Please add me to the group.,Please add me to the group.
ab_159.wav,Mero code output correct xa.,Meero Code Output Correct !
ab_160.wav,Tyo app update available cha.,jaw app update OBB impressions
ab_161.wav,Maile chai question solve gare half.,Molly fa lack .
ab_162.wav,Let's meet at library tomorrow.,Let's meet at library tomorrow.
ab_163.wav,Mero presentation bholi cha?,Meero Presentation Poli Tso
ab_164.wav,Please check your WhatsApp.,Please check your WhatsApp
ab_165.wav,Tyo document finalize garna parxa.,"mourning , Okeyuff ."
ab_166.wav,Maile chai arko function try gare.,joint try
ab_167.wav,Tyo teacher ko lecture interesting xa.,Do Teacher Go Lecture Interesting Top
ab_168.wav,Please bring your charger tomorrow.,Please bring your charger tomorrow.
ab_169.wav,Mero laptop ma VS Code xa installed.,Mito Laptop ma VS GodT tried installed
ab_170.wav,Let's practice more coding today.,Let's practice work coding today.
ab_171.wav,Maile chai tyo repo clone gareko xu.,vai enfin aux hai tariannum gas
ab_172.wav,Please turn off your mic.,Please turn off your mic.
ab_173.wav,Tyo table clean garera rakhnu.,TO. ו.  Skill & Indian Trading
ab_174.wav,Ma ghar pugna alik time lagxa.,"Mater, Wrorghnakh, Roll,"
ab_175.wav,Let's finish editing by tonight.,Let's finish editing by tonight.
